Year,Country of Champion,Champion,Country of Runner-up,Runner-up,Score in the final
2009,SUI,Roger Federer (6/8),USA,Andy Roddick,"5–7, 7–6(8–6), 7–6(7–5), 3–6, 16–14"
2010,ESP,Rafael Nadal (2/2),CZE,Tomáš Berdych,"6–3, 7–5, 6–4"
2011,SRB,Novak Djokovic (1/7),ESP,Rafael Nadal,"6–4, 6–1, 1–6, 6–3"
2012,SUI,Roger Federer (7/8),GBR,Andy Murray,"4–6, 7–5, 6–3, 6–4"
2013,GBR,Andy Murray (1/2),SRB,Novak Djokovic,"6–4, 7–5, 6–4"
2014,SRB,Novak Djokovic (2/7),SUI,Roger Federer,"6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4"
2015,SRB,Novak Djokovic (3/7),SUI,Roger Federer,"7–6(7–1), 6–7(10–12), 6–4, 6–3"
2016,GBR,Andy Murray (2/2),CAN,Milos Raonic,"6–4, 7–6(7–3), 7–6(7–2)"
2017,SUI,Roger Federer (8/8),CRO,Marin Čilić,"6–3, 6–1, 6–4"
2018,SRB,Novak Djokovic (4/7),RSA,Kevin Anderson,"6–2, 6–2, 7–6(7–3)"
2019,SRB,Novak Djokovic (5/7),SUI,Roger Federer,"7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)"
2021,SRB,Novak Djokovic (6/7),ITA,Matteo Berrettini,"6–7(4–7), 6–4, 6–4, 6–3"
2022,SRB,Novak Djokovic (7/7),AUS,Nick Kyrgios,"4–6, 6–3, 6–4, 7–6(7–3)"
2023,ESP,Carlos Alcaraz (1/2),SRB,Novak Djokovic,"1–6, 7–6(8–6), 6–1, 3–6, 6–4"
2024,ESP,Carlos Alcaraz (2/2),SRB,Novak Djokovic,"6–2, 6–2, 7–6(7–4)"
